Route,Mode,Avg Frequency Mon 7-8,Avg Frequency Mon 12-1,Avg Frequency Mon 12-1,Morning 7-8 (Saturday),Daytime 12-1 (Saturday),Evening (Saturday),Morning 7-8 (Sunday),Daytime 12-1 (Sunday),Evening (Sunday),AM Peak Median Gap (min),PM Peak Median Gap (min),Weekly Total Services,Weekly Distance (km),Weekly Service Hours,Average Speed (km/h)
Echuca,V/Line Train,,,,,,,,,,,,50,10243,134,76.44
Frankston,Metro Train,8,10,9.5,20,10,15.5,39.5,10,15.5,5,10,1737,74966,1864,40.22
Geelong,V/Line Train,20,25.5,36.5,37,22.5,26,33,22.5,26,20,19,709,64543,931,69.33
Glen Waverley,Metro Train,10.5,15,18.5,20.5,20,26,45,20,26,9,12,983,21661,620,34.94
Hurstbridge,Metro Train,9.5,22,19,23,22,23.5,28,22,23.5,7,11,1047,33588,982,34.2
Hurstbridge/Mernda,Metro Train,3.5,10,10,10.5,10,11,13.5,10,11,3,4,2123,15549,557,27.92
KM1 (Kilmore),Bus,34,61,37.5,50,64,,50,57,,30.5,32,315,3466,114,30.4
Lilydale,Metro Train,11.5,19.5,21,38,20,31.5,46.5,20,31.5,8,11,1236,36846,955,38.58
Maryborough,V/Line Train,,,,,,,,,,,,28,2935,41,71.59
Melbourne City Express,SkyBus,10.5,10,13.5,10.5,10,13.5,10.5,10,13.5,10,10,1533,34836,869,40.09
Melton,V/Line Train,39.5,20,41.5,40,65.5,40,40,65.5,40,20,21,551,20053,352,56.97
Mernda,Metro Train,9.5,20,20,22,20,21.5,28.5,20,21.5,6,9,1081,35961,1013,35.5
Pakenham,Metro Train,13.5,20,17,22,20,20,26.5,20,20,8,7,1158,60193,1256,47.92
Peninsula Express,SkyBus,66.5,60,55,99.5,78,90,99.5,78,90,61,60,176,12278,331,37.09
Sandringham,Metro Train,8,10,10,20,20,20,30,20,20,8,8,1296,22983,650,35.36
Seymour,V/Line Train,71.5,115,54,,,,,,,78,34,99,9771,152,64.28
Shepparton,V/Line Train,77,,118,,,,,,,79,109,88,16014,231,69.32
Stony Point,Metro Train,105,97.5,,97.5,,100,115,,100,107,109,124,3810,76,50.13
Sunbury,Metro Train,6.5,11,11,15.5,11,13,18,11,13,4,5,1930,55545,1240,44.79
Sunshine Express,SkyBus,31,30,30,31,30,30,31,30,30,30,30,518,9156,294,31.14
Swan Hill,V/Line Train,,,,,,,,,,,,28,9680,131,73.89
The Overland,Interstate Train,,,,,,,,,,,,4,3265,43,75.93
Traralgon,V/Line Train,55,44,55,53.5,45,55,39.5,45,55,41.5,40,318,49208,746,65.96
Upfield,Metro Train,16,20,20,20,20,20,28.5,20,20,16,17,863,18060,524,34.47
W12 (Wallan),Bus,,,35,,,,,,,,33,35,526,19,27.68
W88 (Warragul),Bus,101.5,,,,,,,,,91,28,91,3620,72,50.28
WN1 (Wallan),Bus,,60,,60,60,,,,,,,140,776,30,25.87
WN2 (Wallan),Bus,,60,,60,60,60.5,,,,,,148,968,29,33.38
WN3 (Wallan),Bus,,,30.5,,,,,,,,27,100,217,6,36.17
Warrnambool,V/Line Train,,,,119,,117.5,119,,117.5,,,70,19265,237,81.29
Werribee,Metro Train,13,16.5,16,20,20,20,31,20,20,9,10,1473,44370,1014,43.76
Werribee/Williamstown,Metro Train,7,8,8.5,19,10,13.5,30.5,10,15,6,5,2402,25424,725,35.07
Williamstown,Metro Train,20,20,20,20,20,18.5,31,20,18,20,20,929,10928,322,33.94
Wyndham Vale,V/Line Train,16,20,25.5,47.5,20,20,38.5,20,20,17,17,789,30378,478,63.55
